---------------------------------------------
                   Orthogonal Coordinates  
 No.     Label    xo [Å]   yo [Å]   zo [Å]   
---------------------------------------------
     1.  Zn1      -1.4662   1.4600   0.5479
     2.  Zn1      -0.5479   1.4662   1.4600
     3.  Zn1      -1.4600   0.5479   1.4662
    16.  Zn1      -1.4600   1.4662   0.5479
    17.  Zn1      -1.4662   0.5479   1.4600
    18.  Zn1      -0.5479   1.4600   1.4662
    97.  Zn101    -1.4755   0.8187   1.7183
    98.  Zn101    -1.7183   1.4755   0.8187
    99.  Zn101    -0.8187   1.7183   1.4755
   112.  Zn101    -0.8187   1.4755   1.7183
   113.  Zn101    -1.4755   1.7183   0.8187
   114.  Zn101    -1.7183   0.8187   1.4755
   196.  Zn102    -1.6436   1.5565   0.5292
   199.  Zn102    -1.5565   1.6436   0.5292
   204.  Zn102    -0.5292   1.6436   1.5565
   206.  Zn102    -0.5292   1.5565   1.6436
   213.  Zn102    -1.6436   0.5292   1.5565
   215.  Zn102    -1.5565   0.5292   1.6436
   294.  Zn103    -0.6848   0.8063   0.5697
   297.  Zn103    -0.8063   0.6848   0.5697
   299.  Zn103    -0.5697   0.6848   0.8063
   301.  Zn103    -0.5697   0.8063   0.6848
   308.  Zn103    -0.6848   0.5697   0.8063
   310.  Zn103    -0.8063   0.5697   0.6848
   389.  Zn104    -0.7720   1.5783   1.5160
   392.  Zn104    -1.5783   0.7720   1.5160
   394.  Zn104    -1.5160   0.7720   1.5783
   399.  Zn104    -1.5160   1.5783   0.7720
   403.  Zn104    -0.7720   1.5160   1.5783
   408.  Zn104    -1.5783   1.5160   0.7720
   505.  Zn106    -1.6810   1.4537   0.6942
   510.  Zn106    -0.6942   1.6810   1.4537
   512.  Zn106    -1.4537   0.6942   1.6810
   552.  Zn106    -1.4537   1.6810   0.6942
   553.  Zn106    -1.6810   0.6942   1.4537
   557.  Zn106    -0.6942   1.4537   1.6810
   612.  Zn107    -0.7658   1.5876   1.7090
   619.  Zn107    -1.5876   0.7658   1.7090
   635.  Zn107    -1.7090   0.7658   1.5876
   642.  Zn107    -1.7090   1.5876   0.7658
   662.  Zn107    -0.7658   1.7090   1.5876
   667.  Zn107    -1.5876   1.7090   0.7658
   713.  Zn108    -1.3230   1.6094   0.7098
   722.  Zn108    -1.6094   1.3230   0.7098
   727.  Zn108    -0.7098   1.3230   1.6094
   733.  Zn108    -0.7098   1.6094   1.3230
   756.  Zn108    -1.3230   0.7098   1.6094
   762.  Zn108    -1.6094   0.7098   1.3230
   805.  Zn109    -0.5043   0.6101   0.9308
   816.  Zn109    -0.6101   0.5043   0.9308
   822.  Zn109    -0.9308   0.5043   0.6101
   836.  Zn109    -0.9308   0.6101   0.5043
   847.  Zn109    -0.5043   0.9308   0.6101
   863.  Zn109    -0.6101   0.9308   0.5043
   890.  Zn11     -1.7931   0.6755   1.2701
   892.  Zn11     -1.2701   1.7931   0.6755
   897.  Zn11     -0.6755   1.2701   1.7931
   935.  Zn11     -0.6755   1.7931   1.2701
